FID,id,navn,navnekategori,navnekategori_txt,wkb_geometry
stednavn_punkt.fid--200d312a_166e1b25641_3fe8,1,Københavns Stadsarkiv,14160,Arkiver,POINT (12.569577674965068 55.67562753235746)
stednavn_punkt.fid--200d312a_166e1b25641_3fe9,1,Kulturstationen Vanløse,18145,Bibliotek,POINT (12.49130887528394 55.68652214248285)
stednavn_punkt.fid--200d312a_166e1b25641_3fea,2,Christianshavns Bibliotek,18145,Bibliotek,POINT (12.59212091966293 55.67232124045602)
stednavn_punkt.fid--200d312a_166e1b25641_3feb,3,Islands Brygge Bibliotek,18145,Bibliotek,POINT (12.57937591294882 55.666467503403034)
stednavn_punkt.fid--200d312a_166e1b25641_3fec,4,Hovedbiblioteket,18145,Bibliotek,POINT (12.573653234093157 55.68087610562476)
stednavn_punkt.fid--200d312a_166e1b25641_3fed,5,Sydhavnens Bibliotek,18145,Bibliotek,POINT (12.529608007873708 55.64678342318348)
stednavn_punkt.fid--200d312a_166e1b25641_3fee,6,Nørrebro Bibliotek,18145,Bibliotek,POINT (12.54364161452531 55.6990123375313)
stednavn_punkt.fid--200d312a_166e1b25641_3fef,7,Solvang Bibliotek,18145,Bibliotek,POINT (12.595484064660932 55.64872227604868)
stednavn_punkt.fid--200d312a_166e1b25641_3ff0,8,Valby Bibliotek,18145,Bibliotek,POINT (12.5131070384209 55.6653427353054)
stednavn_punkt.fid--200d312a_166e1b25641_3ff1,9,Vesterbro Bibliotek,18145,Bibliotek,POINT (12.543715195841289 55.66782679418936)
stednavn_punkt.fid--200d312a_166e1b25641_3ff2,10,Husum Bibliotek,18145,Bibliotek,POINT (12.47727358588045 55.71083864475739)
stednavn_punkt.fid--200d312a_166e1b25641_3ff3,11,BIBLIOTEKET Rentemestervej,18145,Bibliotek,POINT (12.522916217324196 55.70841203177259)
stednavn_punkt.fid--200d312a_166e1b25641_3ff4,12,Brønshøj Bibliotek,18145,Bibliotek,POINT (12.499258506620144 55.70414057791254)
stednavn_punkt.fid--200d312a_166e1b25641_3ff5,13,Øbro Jagtvej Bibliotek,18145,Bibliotek,POINT (12.576494590600904 55.70916603955145)
stednavn_punkt.fid--200d312a_166e1b25641_3ff6,14,Bibliotekshuset,18145,Bibliotek,POINT (12.613150562287347 55.65034949033002)
stednavn_punkt.fid--200d312a_166e1b25641_3ff7,15,Vigerslev Bibliotek,18145,Bibliotek,POINT (12.503313355608507 55.6492308208943)
stednavn_punkt.fid--200d312a_166e1b25641_3ff8,16,Blågårdens Bibliotek,18145,Bibliotek,POINT (12.556770109039634 55.68609122692412)
stednavn_punkt.fid--200d312a_166e1b25641_3ff9,17,Tingbjerg Bibliotek,18145,Bibliotek,POINT (12.48119514014686 55.7188555933771)
stednavn_punkt.fid--200d312a_166e1b25641_3ffa,18,Ørestad Bibliotek,18145,Bibliotek,POINT (12.580964243346905 55.63128647629463)
stednavn_punkt.fid--200d312a_166e1b25641_3ffb,19,Østerbro Bibliotek,18145,Bibliotek,POINT (12.581745359843794 55.69457326676311)
stednavn_punkt.fid--200d312a_166e1b25641_3ffc,20,Sundby Bibliotek,18145,Bibliotek,POINT (12.603936487981368 55.665203677828174)
stednavn_punkt.fid--200d312a_166e1b25641_3ffd,1,Hal C,17249,Idrætshaller,POINT (12.602137159337724 55.67606473553194)
